"name","lat","lng","population","toBernPerHMon","toBernPerHTue","toBernPerHWed","toBernPerHThu","toBernPerHFri","toBernPerHSat","toBernPerHSun","toBernAnyDay","toZhPerHMon","toZhPerHTue","toZhPerHWed","toZhPerHThu","toZhPerHFri","toZhPerHSat","toZhPerHSun","toZhAnyDay","avDurToZh","avDurToBern"
"Brügg",47.126608,7.277114,4298,2.21052631578947,6.36842105263158,2.42105263157895,2.42105263157895,10.2105263157895,10.8421052631579,2.42105263157895,5.27067669172932,0,0,0,0,0,0,0,0,NA,52.21
"Nidau",47.125029,7.241157,6955,5.11960784313725,9.17516339869281,7.17516339869281,5.51633986928105,12.8797385620915,12.5947712418301,8.26050420168067,8.67446978791517,4.71345029239766,4.71345029239766,4.71345029239766,4.71345029239766,4.71345029239766,4.71345029239766,4.71345029239766,4.71345029239766,78.7136842105263,44.3608430944345
"Port",47.119211,7.257291,3486,0,4,0,0,8,8,0,2.85714285714286,0,0,0,0,0,0,0,0,NA,59.5
"Studen (BE)",47.111512,7.301233,3107,4.42105263157895,7.73684210526316,4.84210526315789,4.84210526315789,10.4210526315789,11.6842105263158,4.84210526315789,6.96992481203008,0,0,0,0,0,0,0,0,NA,44.22
"Worben",47.100636,7.29635,2274,0,5,0,0,10,10,0,3.57142857142857,0,0,0,0,0,0,0,0,NA,51.2
"Reutigen",46.694273,7.623712,990,0,0,0,0,3,3,0,0.857142857142857,0,0,0,0,0,0,0,0,NA,69.3333333333333
"Spiez",46.691947,7.677466,12477,7.06746031746032,7.06979458450047,7.09444444444444,7.48333333333333,15.531954887218,21.2280701754386,15.8375350140056,11.6160846794858,1.52380952380952,1.52380952380952,1.52380952380952,1.52380952380952,1.52380952380952,1.52380952380952,1.52380952380952,1.52380952380952,102.002648129758,59.7629506043889
"Gsteig",47.032636,7.422647,976,0,2,0,0,6.5,6.5,0,2.14285714285714,0,0,0,0,0,0,0,0,NA,17.875
"Schwarzenburg",46.817916,7.341188,6857,9.89473684210526,9.89473684210526,13.1052631578947,9.89473684210526,10,13,10.8947368421053,10.9548872180451,0,0,0,0,0,0,0,0,NA,31.5128226204176
"Belp",46.88978,7.498388,11548,32.8889675168313,36.8044965354563,33.0530542041378,33.8645387979753,35.694230674726,28.7763501891985,23.8831699346405,32.1378296932808,0,0,0,0,0,0,0,0,NA,21.6361422027407
"Gurzelen",46.779331,7.531651,855,7.78947368421053,7.68421052631579,7.78947368421053,7.89473684210526,7.47368421052632,9.52631578947368,7.33333333333333,7.92731829573935,0,0,0,0,0,0,0,0,NA,30.1666666666667
"Jaberg",46.818181,7.569789,252,2.68421052631579,2.63157894736842,2.52631578947368,2.57894736842105,2.36842105263158,2.36842105263158,2.42105263157895,2.51127819548872,0,0,0,0,0,0,0,0,NA,26.7159090909091
"Kaufdorf",46.837938,7.498229,1061,7.78947368421053,7.68421052631579,7.78947368421053,7.89473684210526,7.47368421052632,9.52631578947368,7.65217391304348,7.97286694998366,0,0,0,0,0,0,0,0,NA,23.2264957264957
"Kehrsatz",46.911943,7.473184,4226,32.4093567251462,34.4093567251462,32.6198830409357,33.2514619883041,34.5877192982456,29.4473684210526,21.3333333333333,31.1512113617377,0,0,0,0,0,0,0,0,NA,16.1790849673203
"Mühlethurnen",46.813992,7.509678,1395,7.78947368421053,7.68421052631579,7.78947368421053,7.89473684210526,7.47368421052632,9.52631578947368,7.33333333333333,7.92731829573935,0,0,0,0,0,0,0,0,NA,25.3760683760684
